MiniGame; Version; Player; First_TimeStamp; Last_Timestamp; Score; Q1; Q2; Q3; Q4
FLAPPY;1;bdaFDd;1681911074511;1681911136625;280;1;5;4;4
RUNSHOOT;2;bdaFDd;1681911166220;1681911227591;114;4;5;5;4
FLAPPY;2;bdaFDd;1681911256652;1681911324476;290;5;5;5;5
SORTER;1;bdaFDd;1681911354698;1681911416294;420;5;5;5;5
SORTER;2;bdaFDd;1681911433703;1681911494195;420;3;4;5;4
DOBBLE;3;bdaFDd;1681911515094;1681911577077;530;2;3;3;2
DOBBLE;1;bdaFDd;1681911592370;1681911653562;595;2;3;3;3
DOBBLE;2;bdaFDd;1681911672496;1681911733930;525;3;3;3;3
FLAPPY;3;bdaFDd;1681911753169;1681911824781;300;3;5;5;5
RUNSHOOT;1;bdaFDd;1681911841436;1681911903967;109;3;4;5;3
SORTER;3;bdaFDd;1681911915374;1681911975832;320;5;5;5;5
RUNSHOOT;3;bdaFDd;1681911991058;1681912056117;122;4;5;5;5
DOBBLE;2;bdaFDd2;1681912338477;1681912399971;435;4;5;3;5
SORTER;1;bdaFDd2;1681912414026;1681912474587;420;5;5;5;5
FLAPPY;1;bdaFDd2;1681912491126;1681912556888;260;3;5;4;1
RUNSHOOT;1;bdaFDd2;1681912574361;1681912635423;118;3;3;4;4
DOBBLE;3;bdaFDd2;1681912649061;1681912710640;345;2;4;3;3
RUNSHOOT;3;bdaFDd2;1681912724312;1681912789241;133;3;5;4;4
SORTER;3;bdaFDd2;1681912809564;1681912870058;10;5;5;5;5
FLAPPY;3;bdaFDd2;1681912886997;1681912958259;270;3;5;5;4
SORTER;2;bdaFDd2;1681912985665;1681913046110;500;3;4;5;3
RUNSHOOT;2;bdaFDd2;1681913059517;1681913120994;126;3;3;5;4
DOBBLE;1;bdaFDd2;1681913140671;1681913201479;395;2;4;3;4
FLAPPY;2;bdaFDd2;1681913213768;1681913278846;200;2;5;4;3
