MiniGame, Version, Player, First_TimeStamp, Last_Timestamp, Score, Q1, Q2, Q3, Q4
FLAPPY,1,bdaFDd​,1681911074511,1681911136625,280,1,5,4,4
RUNSHOOT,2,bdaFDd​,1681911166220,1681911227591,114,4,5,5,4
FLAPPY,2,bdaFDd​,1681911256652,1681911324476,290,5,5,5,5
SORTER,1,bdaFDd​,1681911354698,1681911416294,420,5,5,5,5
SORTER,2,bdaFDd​,1681911433703,1681911494195,420,3,4,5,4
DOBBLE,3,bdaFDd​,1681911515094,1681911577077,530,2,3,3,2
DOBBLE,1,bdaFDd​,1681911592370,1681911653562,595,2,3,3,3
DOBBLE,2,bdaFDd​,1681911672496,1681911733930,525,3,3,3,3
FLAPPY,3,bdaFDd​,1681911753169,1681911824781,300,3,5,5,5
RUNSHOOT,1,bdaFDd​,1681911841436,1681911903967,109,3,4,5,3
SORTER,3,bdaFDd​,1681911915374,1681911975832,320,5,5,5,5
RUNSHOOT,3,bdaFDd​,1681911991058,1681912056117,122,4,5,5,5
DOBBLE,2,bdaFDd2​,1681912338477,1681912399971,435,4,5,3,5
SORTER,1,bdaFDd2​,1681912414026,1681912474587,420,5,5,5,5
FLAPPY,1,bdaFDd2​,1681912491126,1681912556888,260,3,5,4,1
RUNSHOOT,1,bdaFDd2​,1681912574361,1681912635423,118,3,3,4,4
DOBBLE,3,bdaFDd2​,1681912649061,1681912710640,345,2,4,3,3
RUNSHOOT,3,bdaFDd2​,1681912724312,1681912789241,133,3,5,4,4
SORTER,3,bdaFDd2​,1681912809564,1681912870058,10,5,5,5,5
FLAPPY,3,bdaFDd2​,1681912886997,1681912958259,270,3,5,5,4
SORTER,2,bdaFDd2​,1681912985665,1681913046110,500,3,4,5,3
RUNSHOOT,2,bdaFDd2​,1681913059517,1681913120994,126,3,3,5,4
DOBBLE,1,bdaFDd2​,1681913140671,1681913201479,395,2,4,3,4
FLAPPY,2,bdaFDd2​,1681913213768,1681913278846,200,2,5,4,3
FLAPPY,2,GD5JC6​,1682494315956,1682494377936,290,2,3,1,1
SORTER,1,GD5JC6​,1682494439961,1682494500488,600,2,2,2,2
DOBBLE,2,GD5JC6​,1682494526057,1682494587022,265,2,3,2,2
RUNSHOOT,1,GD5JC6​,1682494610312,1682494671373,127,3,3,4,2
DOBBLE,3,GD5JC6​,1682494688837,1682494750324,335,3,3,2,3
SORTER,3,GD5JC6​,1682494774046,1682494834576,290,4,4,2,2
FLAPPY,1,GD5JC6​,1682494869614,1682494930826,300,2,2,2,2
DOBBLE,1,GD5JC6​,1682494954186,1682495015644,345,3,2,2,3
RUNSHOOT,3,GD5JC6​,1682495041551,1682495106461,134,3,4,4,3
FLAPPY,3,GD5JC6​,1682495118700,1682495183761,350,3,3,2,2
RUNSHOOT,2,GD5JC6​,1682495217437,1682495277912,127,2,2,3,2
SORTER,2,GD5JC6​,1682495321357,1682495381782,590,1,1,2,2
SORTER,3,GD5JC6​,1682495518720,1682495579233,410,2,3,2,2
FLAPPY,2,GD5JC6​,1682495601056,1682495663183,290,2,2,1,2
DOBBLE,1,GD5JC6​,1682495687568,1682495748551,370,2,2,2,3
FLAPPY,3,GD5JC6​,1682495774756,1682495837351,400,2,3,1,1
RUNSHOOT,1,GD5JC6​,1682495862390,1682495923720,137,2,3,3,3
DOBBLE,3,GD5JC6​,1682495953794,1682496014820,480,2,3,2,3
RUNSHOOT,2,GD5JC6​,1682496040010,1682496100422,130,2,2,3,2
SORTER,1,GD5JC6​,1682496123279,1682496183773,630,2,2,2,3
RUNSHOOT,3,GD5JC6​,1682496196744,1682496260790,134,3,3,3,2
FLAPPY,1,GD5JC6​,1682496282263,1682496344508,300,2,2,2,2
SORTER,2,GD5JC6​,1682496360730,1682496421176,580,2,2,3,3
DOBBLE,2,GD5JC6​,1682496439781,1682496500677,245,2,2,2,3
RUNSHOOT,3,MNZ37D​,1682501770168,1682501833284,139,3,4,5,3
SORTER,2,MNZ37D​,1682501859159,1682501919753,360,3,3,4,2
DOBBLE,1,MNZ37D​,1682501936892,1682501997820,210,3,4,3,4
FLAPPY,3,MNZ37D​,1682502009825,1682502072188,400,1,1,2,2
SORTER,3,MNZ37D​,1682502085910,1682502146405,110,3,3,4,2
DOBBLE,3,MNZ37D​,1682502162748,1682502224689,230,3,3,3,4
RUNSHOOT,2,MNZ37D​,1682502240065,1682502302057,121,2,2,3,1
DOBBLE,2,MNZ37D​,1682502320241,1682502381258,225,2,3,3,4
SORTER,1,MNZ37D​,1682502398481,1682502458992,370,2,2,3,2
RUNSHOOT,1,MNZ37D​,1682502478047,1682502538676,135,2,2,3,2
FLAPPY,1,MNZ37D​,1682502555282,1682502618043,300,1,2,2,1
FLAPPY,2,MNZ37D​,1682502633400,1682502694560,300,2,1,2,1
SORTER,2,MNZ37D2​,1682502842534,1682502903030,520,2,2,2,2
RUNSHOOT,3,MNZ37D2​,1682502921986,1682502984847,123,2,3,3,2
SORTER,3,MNZ37D2​,1682503002818,1682503063315,270,3,4,3,2
DOBBLE,3,MNZ37D2​,1682503083170,1682503144615,355,2,3,3,3
FLAPPY,2,MNZ37D2​,1682503160571,1682503223399,300,2,2,2,2
SORTER,1,MNZ37D2​,1682503234887,1682503295350,490,2,2,3,2
FLAPPY,1,MNZ37D2​,1682503315141,1682503375634,300,1,1,1,1
RUNSHOOT,1,MNZ37D2​,1682503384058,1682503446786,113,2,1,2,2
DOBBLE,2,MNZ37D2​,1682503459160,1682503519969,250,2,2,2,3
FLAPPY,3,MNZ37D2​,1682503528426,1682503590770,400,2,1,1,1
